MumId Percentage
M034612 93.2774264503712
M034644 75.6135779749649
M034664 82.5617178026403
M035417 82.1375525514186
M035431 96.7923452316668
M036753 85.5376884422111
M036781 99.1476610459243
M036859 99.2586289757105
M036866 98.9748149312532
M037569 98.9394768984543
M037570 96.8980103399655
M037571 98.9274414374317
M037592 98.8512158719151
M037593 65.361724257483
M037594 83.6671091360305
M037595 95.1394451321634
M037649 65.2962706784253
M037651 96.2244315621902
M037672 99.6846364994147
M037704 97.8125237047713
M037779 99.6356520157147
M037855 99.1595317031436
M037857 99.7094680414846
M037867 99.3380658893424
M037877 99.4749434078154
M037881 83.5191454415475
M037882 77.4088726414832
M037891 96.3509362807301
M037936 81.8485765490496
M038076 99.9778147531891
M038111 99.6625033749662
M038113 79.8972250770812
M038116 91.2013419336988
M038123 79.2548517660082
M038125 87.4251725806863
M038127 99.5739491971146
M038128 80.4743219017278
M038287 99.142497180135
M038289 82.858825567296
M038297 99.1694715216156
M038299 79.2042066964552
M038300 88.2951442697956
M038342 99.1574047568671
M039091 98.854313827546
M039140 81.6484737937128
M039421 98.9834044164398
M039430 98.964204112719
M040081 98.7698628629424
M040122 98.8597468888698
M040473 99.4003595898732
M040550 85.6724480883141
M040586 82.0257822665237
M040627 98.3048243113968
M040655 99.0818585168789
M040763 98.8896085870269
M040764 83.1165576961179
M040770 98.4772415317863
M040783 74.3571661994118
M040813 99.2888631147501
M040856 83.169354605206
M041177 87.2713549278132
M041218 97.8801530922084
M042109 80.2868245509664
M042116 97.8819991407704
M042143 99.2852113530968
M042172 98.7420631360705
M042175 97.6979458162058
M042178 81.4870200123484
M042887 98.6647768123087
M043010 97.0460981749528
M043016 84.2274640374222
M043018 92.1129645888206
M043035 61.0002104967724
M043041 77.1595574535442
M043261 82.8139742988805
M043563 96.9821949502062
M043598 81.0784283465539
M043628 99.4049506894416
M043629 81.3506505069391
M043630 81.8192322662256
M043632 98.4235044688445
M043642 82.6377029182697
M043643 98.3170691366193
M043650 98.8977444445006
M043670 98.5343284756229
M043679 83.0468975918985
M043682 77.6839324928208
M043759 96.7537435785332
M043802 99.0494687300902
M043819 95.4088877202209
M043826 99.6821960938653
M043832 99.3281931802476
M043852 98.8690789291548
M043945 63.015539559455
M043982 95.3209302325581
M043987 83.0953014774391
