"x"	"y"	"pres"
"274"	2566921.6	1119499.3	0
"275"	2567217.1	1119963.1	0
"276"	2564300.4	1147498	0
"277"	2567375.3	1120135.8	0
"278"	2582302.9	1146696.1	0
"279"	2577001.9	1144894.8	0
"280"	2567586.4	1119886.5	0
"281"	2566597.5	1119842.3	0
"282"	2567203.5	1121302.3	0
"283"	2580599.6	1151189.7	0
"284"	2565503.8	1139301.8	0
"285"	2567201.5	1121101.7	0
"286"	2568299.9	1121200.1	0
"287"	2568600.9	1119913.3	0
"288"	2575301.1	1128999.3	0
"289"	2568499.9	1119901.1	0
"290"	2568001.3	1119898.9	0
"291"	2577799.6	1126297.00000001	0
"292"	2567899.8	1119898.4	0
"293"	2567739.3	1119992.1	0
"294"	2568299.9	1119696.4	0
"295"	2568201.9	1119602.4	0
"296"	2567499.3	1119298.9	0
"297"	2565400.3	1144400.3	0
"298"	2569400.3	1131500.1	0
"299"	2567397.1	1119101.8	0
"300"	2575299.8	1121901.7	0
"301"	2567795.9	1120798.4	0
"302"	2566799.5	1120794.1	0
"303"	2555197.8	1146597.1	0
"304"	2555805.8	1146495.9	0
"305"	2556075.3	1145996.9	0
"306"	2556700	1145398.2	0
"307"	2580401.9	1139199.1	0
"308"	2556095.9	1147396.3	0
"309"	2556500.7	1147401.7	0
"310"	2557399.3	1148599	0
"311"	2580198.9	1125401	0
"312"	2581200.3	1137900	0
"313"	2569402.9	1124255.3	0
"314"	2575603.4	1122200.8	0
"315"	2566898.4	1128704.9	0
"316"	2564497.7	1145390	0
"317"	2567033.4	1128733	0
"318"	2575801.8	1122501.7	0
"319"	2561029.3	1142573.3	0
"320"	2574998.5	1121895.7	0
"321"	2559403.6	1144804.3	0
"322"	2558901.4	1144999.9	0
"323"	2574493.8	1120197.7	0
"324"	2558901.9	1145301.7	0
"325"	2559400.1	1144600.6	0
"326"	2559298.5	1146098.9	0
"327"	2575499.6	1140299.8	0
"328"	2580308.3	1125895.5	0
"329"	2561650.3	1144250.7	0
"330"	2569177.4	1146198.70000001	0
"331"	2559399.1	1146299.4	0
"332"	2575701.7	1139799.2	0
"333"	2577104.4	1139798.9	0
"334"	2568401.1	1137500.5	0
"335"	2572002.5	1137399	0
"336"	2572400	1119200	0
"337"	2568600.2	1137699.4	0
"338"	2576400.9	1139495.3	0
"339"	2581495	1141708.9	0
"340"	2572790	1119200	0
"341"	2568898.6	1146093	0
"342"	2581800.3	1139198.9	0
"343"	2578800	1142800	0
"344"	2575699.4	1127700.4	0
"345"	2573599	1118503.8	0
"346"	2564594	1147102.9	0
"347"	2566801	1141197.9	0
"348"	2572501.1	1118104.5	0
"349"	2570525.5	1133196.1	0
"350"	2566274.6	1141005.1	0
"351"	2576801.2	1125097.5	0
"352"	2567797.4	1136197.1	0
"353"	2567699.5	1135898.8	0
"354"	2571502.8	1137302.4	0
"355"	2564297.7	1142001.5	0
"356"	2564401.8	1142100	0
"357"	2571899.5	1117300.20000001	0
"358"	2558978.9	1150775.4	0
"359"	2569946.4	1145602.9	0
"360"	2583702.1	1145787.8	0
"361"	2563095.1	1148098.7	0
"362"	2565777	1140310.9	0
"363"	2564498.7	1147097.7	0
"364"	2572399	1130099.6	0
"365"	2568001.2	1137391.3	0
"366"	2571998.1	1117500.9	0
"367"	2573528	1145101.4	0
"368"	2571003.5	1146493.3	0
"369"	2579801.1	1125899.6	0
"370"	2580200.6	1125803.9	0
"371"	2579299.8	1125801.8	0
"372"	2579600.8	1135998.8	0
"373"	2581602.6	1136003.3	0
"374"	2579599.3	1126198.6	0
"375"	2580600	1126400.7	0
"376"	2566496.5	1134101.5	0
"377"	2572700.4	1145900.5	0
"378"	2578200	1123100	0
"379"	2580101.4	1125999.7	0
"380"	2581600.9	1135899.4	0
"381"	2579498.5	1126100.5	0
"382"	2572496.9	1147096.7	0
"383"	2579600	1125798.4	0
"384"	2579705.7	1139600.7	0
"385"	2579000	1125099.2	0
"386"	2580000.6	1125598.8	0
"387"	2569772.6	1134297.1	0
"388"	2579899.2	1125101.4	0
"389"	2567204.4	1135794.2	0
"390"	2577599.3	1125597.3	0
"391"	2571084.2	1137391.69999999	0
"392"	2578503.8	1144203.7	0
"393"	2572500	1118400	0
"394"	2578357.6	1143628.6	0
"395"	2580203	1142698.8	0
"396"	2560976.8	1142847.2	0
"397"	2572987.7	1120285.6	0
"398"	2571600.6	1138301.1	0
"399"	2581701.1	1141200.9	0
"400"	2581299.1	1144899.3	0
"401"	2571003.2	1130794.3	0
"402"	2567504.8	1137198.5	0
"403"	2581099.1	1136598.8	0
"404"	2572001.4	1118302.7	0
"405"	2581701.1	1141098.49999999	0
"406"	2579098.5	1123904.7	0
"407"	2577197.6	1133097	0
"408"	2572402.2	1117799.7	0
"409"	2572102.5	1117100.2	0
"410"	2571597.6	1117099.2	0
"411"	2577301.6	1122003.7	0
"412"	2577301.8	1122199	0
"413"	2578998	1123800.3	0
"414"	2578898.3	1123699.5	0
"415"	2563606.7	1140403	0
"416"	2572402.1	1117700.7	0
"417"	2579000.2	1136502.1	0
"418"	2572300.2	1117997	0
"419"	2572403.8	1118198.8	0
"420"	2577103.5	1121999.19999999	0
"421"	2575696	1122696	0
"422"	2579599.8	1127302.9	0
"423"	2579601.4	1127499.5	0
"424"	2573712.5	1120867.6	0
"425"	2577500	1126700	0
"426"	2579502.8	1127600	0
"427"	2580802.5	1142999.3	0
"428"	2582499.4	1131896.3	0
"429"	2576801.1	1121397.6	0
"430"	2582601.9	1131597	0
"431"	2571998.7	1119600.6	0
"432"	2581401.6	1145079.7	0
"433"	2577197.4	1151400.4	0
"434"	2573303.3	1146902.1	0
"435"	2578708.6	1128800.1	0
"436"	2577601.9	1137196.5	0
"437"	2579728.7	1124201.3	0
"438"	2572099.8	1118101.7	0
"439"	2580198.6	1124398.4	0
"440"	2577204.8	1149998.7	0
"441"	2561305.9	1142601.2	0
"442"	2580121.1	1124212.8	0
"443"	2577598.6	1136899.7	0
"444"	2571602.3	1118200.9	0
"445"	2581700.8	1147601.3	0
"446"	2580298.8	1124153	0
"447"	2578901.3	1127899.8	0
"448"	2580700.2	1126000.6	0
"449"	2569001.5	1124401.1	0
"450"	2566600	1134402	0
"451"	2578800.8	1128301.4	0
"452"	2582798.9	1131200.4	0
"453"	2578801.6	1128500.6	0
"454"	2572101.9	1116902.5	0
"455"	2578699.8	1128500.5	0
"456"	2571900.3	1117895.8	0
"457"	2581610.7	1147395.8	0
"458"	2578101.4	1122995.5	0
"459"	2579802.4	1128600.2	0
"460"	2579002	1127899.7	0
"461"	2579501.8	1124097	0
"462"	2579400.6	1128199.1	0
"463"	2577098.6	1151397	0
"464"	2579852.5	1124154.4	0
"465"	2571600.8	1117394.3	0
"466"	2582301.3	1131100.7	0
"467"	2579999.7	1128699.3	0
"468"	2571697	1117498.5	0
"469"	2578799.4	1128401.5	0
"470"	2572099	1117900.4	0
"471"	2575301.5	1143399.1	0
"472"	2580099.4	1128697.9	0
"473"	2571703.9	1116898.8	0
"474"	2579400.3	1127799.3	0
"475"	2582101.1	1130491	0
"476"	2579400.4	1128498.4	0
"477"	2571600	1116800	0
"478"	2576700	1120900	0
"479"	2578002.1	1122999.6	0
"480"	2571599.6	1117001.2	0
"481"	2571999.9	1118900.2	0
"482"	2572599.1	1146802.1	0
"483"	2577997.6	1123103.8	0
"484"	2581899.6	1130397.8	0
"485"	2582997.1	1131788.6	0
"486"	2571499.4	1117200.6	0
"487"	2579602.3	1127994.2	0
"488"	2571708.7	1117300.1	0
"489"	2572705.1	1134195.4	0
"490"	2571799.5	1117699.5	0
"491"	2574750	1146348.6	0
"492"	2570900	1135200	0
"493"	2570709.9	1122288.1	0
"494"	2560737.6	1143528.2	0
"495"	2583260.3	1130892.4	0
"496"	2581883.4	1130635.3	0
"497"	2572004.8	1148103.8	0
"498"	2580596.6	1133307	0
"499"	2579103.4	1152501.4	0
"500"	2572196.4	1137698.4	0
"501"	2580599.5	1126794.6	0
"502"	2581100.4	1154798.8	0
"503"	2579503.2	1125604.8	0
"504"	2581097	1154305.9	0
"505"	2580602.7	1125896.4	0
"506"	2571498.3	1135601.9	0
"507"	2567400	1136200	0
"508"	2574702.8	1143702	0
"509"	2581199.1	1154799.7	0
"510"	2556700.3	1149126.1	0
"511"	2566906.4	1128404.5	0
"512"	2580390.8	1131206.1	0
"513"	2580497.4	1131200.7	0
"514"	2568200.2	1139899.8	0
