"x"	"y"	"pres"
"66"	2568127.4	1129100.4	0
"67"	2571400	1117200	0
"68"	2576598.5	1141304.5	1
"69"	2577902.6	1122902.8	0
"70"	2557682.6	1150423.3	1
"71"	2577593.8	1129095.2	0
"72"	2580499	1124512.5	0
"73"	2577300.1	1140801.2	1
"74"	2575139.3	1121032.1	0
"75"	2576098.9	1148048.6	0
"76"	2574897.8	1143394.6	1
"77"	2564295.7	1144405.6	1
"78"	2572092.5	1148403.3	1
"79"	2573900.5	1119998.2	1
"80"	2578400.7	1150498.4	1
"81"	2566805.8	1138599.4	0
"82"	2572898.6	1141798.5	1
"83"	2575297.8	1130796	0
"84"	2572999.6	1147227.6	1
"85"	2577703.7	1128994.6	0
"86"	2571122.5	1124203	1
"87"	2572600	1130000	0
"88"	2576200	1143697.9	0
"89"	2575502.4	1131701.7	0
"90"	2575400.1	1131097.7	0
"91"	2570604.5	1132301.6	1
"92"	2568399.6	1144601.2	1
"93"	2580097.2	1136400.3	0
"94"	2575300	1124700	0
"95"	2580498.5	1137599.3	0
"96"	2557726.2	1147276.1	1
"97"	2569700.8	1124099.4	0
"98"	2562699.6	1134995.7	1
"99"	2576304.5	1132905.7	0
"100"	2579494	1137398.3	0
"101"	2579398.4	1124795.8	0
"102"	2577795.7	1137395.5	0
"103"	2577390.6	1137392.6	0
"104"	2575297.1	1136296.7	0
"105"	2557846.9	1147527.3	1
"106"	2580903.4	1141096.7	1
"107"	2579797.7	1123900.1	0
"108"	2575005.8	1122110.3	0
"109"	2578892.5	1140400.4	0
"110"	2576598	1138495.7	0
"111"	2577800	1125300	0
"112"	2579651.4	1136898	0
"113"	2576899.1	1140897	1
"114"	2572597.3	1133004.7	1
"115"	2560221	1142970.2	1
"116"	2577504	1125410.4	0
"117"	2581406	1131494.1	0
"118"	2581499.8	1131399	0
"119"	2569696.8	1138099.7	0
"120"	2571897.7	1120196.7	0
"121"	2573798.4	1144701.7	0
"122"	2584593.8	1151895.1	0
"123"	2569100	1136100	0
"124"	2579197.2	1135997	0
"125"	2578594	1125100.5	0
"126"	2579101.1	1136303.5	0
"127"	2578699.1	1136499.2	0
"128"	2578076	1136824.3	0
"129"	2568503.8	1137897.2	0
